Locus	Annotation (TAIR10)	Mapman Category	GO term biological process	Mean Day 0 MD	Mean Day 0 MN	Mean Day 4 MD	Mean Day 4 MN	Mean Day 9 MD	Mean Day 9 MN	Mean Day 12 MD	Mean Day 12 MN	Mean Day 2rek MD	Mean Day 2rek MN
AT4G24260	glycosyl hydrolase 9A3	misc	response to nematode; carbohydrate metabolic process	254.33	521	275.67	429	95.33	85	85.67	91.67	327	353.33
AT3G23570	alpha/beta-Hydrolases superfamily protein	misc		137.33	288.67	130.67	197	310.33	229.67	249.67	142	190.67	258
AT4G37550	Acetamidase/Formamidase family protein	misc	metabolic process	100.33	275.33	101.67	218	186	153	193	123.67	169	190.33
AT2G29150	NAD(P)-binding Rossmann-fold superfamily protein	misc	metabolic process	216.67	233.33	222	220.67	204.67	141	161	109	235.67	207.67
AT1G07440	NAD(P)-binding Rossmann-fold superfamily protein	misc	starch biosynthetic process; metabolic process; response to karrikin; maltose metabolic process; pentose-phosphate shunt; response to cadmium ion; positive regulation of catalytic activity	183.67	202	196.67	205.33	209.33	130	160.67	110.67	229	193
AT5G06060	NAD(P)-binding Rossmann-fold superfamily protein	misc	metabolic process	165.67	181.33	172	157	179.67	155.67	149.67	131	202	170
AT2G29260	NAD(P)-binding Rossmann-fold superfamily protein	misc	metabolic process	143.67	191	145	182	162.33	138.33	146.33	123	190.67	194.67
AT1G23740	Oxidoreductase. zinc-binding dehydrogenase family protein	misc	glycine catabolic process; cellular amino acid biosynthetic process; nucleotide metabolic process; defense response to bacterium; myo-inositol hexakisphosphate biosynthetic process; response to cold; oxidation-reduction process; unsaturated fatty acid biosynthetic process; jasmonic acid biosynthetic process; response to light stimulus; lipoate metabolic process; chlorophyll metabolic process; aromatic amino acid family metabolic process; oxylipin biosynthetic process; sulfur compound biosynthetic process; carotenoid biosynthetic process; sulfur amino acid metabolic process; chlorophyll biosynthetic process; vitamin metabolic process; oxidoreduction coenzyme metabolic process; secondary metabolic process; regulation of lipid metabolic process; coenzyme biosynthetic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway	892	152.33	883	156	797.67	214.67	591	194	737	73
AT4G21960	Peroxidase superfamily protein	misc	glucosinolate biosynthetic process; cysteine biosynthetic process; response to salt stress; water transport; cellular cation homeostasis; response to oxidative stress; oxidation-reduction process; response to fructose stimulus; divalent metal ion transport	1529.33	8040	1435	8230.33	290.67	746	10.67	349.67	1318	4370.33
AT4G27700	Rhodanese/Cell cycle control phosphatase superfamily protein	misc	starch biosynthetic process; pentose-phosphate shunt; positive regulation of catalytic activity; maltose metabolic process; aging	458.33	34.33	417.67	36	384	40	381.67	55	407	30.33
AT2G42220	Rhodanese/Cell cycle control phosphatase superfamily protein	misc	stomatal complex morphogenesis; cysteine biosynthetic process; photosynthesis. light reaction; 	484.33	34.33	480.67	52.33	254.33	25.33	162.67	21.67	282	5.33
AT3G27240	Cytochrome C1 family	mitochondrial electron transport	response to misfolded protein; pentose-phosphate shunt; response to cadmium ion; photorespiration; glycolysis; ubiquitin-dependent protein catabolic process; proteasome core complex assembly; aerobic respiration; response to salt stress	189.67	127.33	199.33	138.67	196	158.67	193.67	121.33	170	117.33
AT5G08670	ATP synthase alpha/beta family protein	mitochondrial electron transport	proton transport; ATP hydrolysis coupled proton transport; ATP biosynthetic process; ATP synthesis coupled proton transport; ATP metabolic process; response to oxidative stress; ATP catabolic process	649	894.33	709	896.67	672.67	674.33	708.33	605.67	720.67	732.33
AT3G52300	ATP synthase D chain. mitochondrial	mitochondrial electron transport	photorespiration; ATP synthesis coupled proton transport; response to salt stress; proteasome core complex assembly; response to misfolded protein; ubiquitin-dependent protein catabolic process	332	382.33	316.67	466.33	346	419.33	281	351	267	281.67
AT2G33040	gamma subunit of Mt ATP synthase	mitochondrial electron transport	ATP synthesis coupled proton transport; ubiquitin-dependent protein catabolic process; response to misfolded protein; methylglyoxal catabolic process to D-lactate; photorespiration; proteasome core complex assembly; proton transport	205.33	237.33	224.67	247.33	221.67	119	189.67	84	211.67	156.67
AT4G02580	NADH-ubiquinone oxidoreductase 24 kDa subunit. putative	mitochondrial electron transport	mitochondrial electron transport. NADH to ubiquinone; photorespiration; response to oxidative stress; ubiquitin-dependent protein catabolic process; oxidation-reduction process; proteasome core complex assembly; response to misfolded protein	157	149.33	149	138.67	262	168	292	154.33	161	127.67
AT5G08530	51 kDa subunit of complex I	mitochondrial electron transport	proteasome core complex assembly; ubiquitin-dependent protein catabolic process; N-terminal protein myristoylation; cell growth; mitochondrial electron transport. NADH to ubiquinone; oxidation-reduction process; response to misfolded protein; cell morphogenesis; photorespiration; Golgi vesicle transport	125.67	224	132.33	190.33	170	199	164.33	175.33	155.33	214.67
AT4G24570	dicarboxylate carrier 2	mitochondrial electron transport	ethylene biosynthetic process; response to mechanical stimulus; response to chitin; transport; mitochondrial transport; transmembrane transport; response to wounding	66.67	15.67	110.33	10.67	823.33	6.67	899.33	1.33	268.33	7
AT5G04140	glutamate synthase 1	N-metabolism	response to sucrose stimulus; defense response. incompatible interaction; response to cold; chloroplast relocation; response to red light; response to light stimulus; carotenoid biosynthetic process; chloroplast organization; response to blue light; salicylic acid biosynthetic process; response to salt stress; regulation of proton transport; photorespiration; response to high light intensity; positive regulation of glycine hydroxymethyltransferase activity; defense response to bacterium; response to far red light; photosynthesis. light reaction; response to fructose stimulus; ovule development; water transport; stomatal complex morphogenesis	1401.33	2759.67	1623	2159.33	2503.67	3750.33	3108.33	3957	1969	5706.33
AT2G41220	glutamate synthase 2	N-metabolism	glutamate biosynthetic process; response to fructose stimulus; metabolic process; response to sucrose stimulus; nitrogen compound metabolic process; response to glucose stimulus; transition metal ion transport; oxidation-reduction process	688.33	1755	972	1334	1646.33	2660.67	1945.33	2797.33	1096	3945.67
AT5G35630	glutamine synthetase 2	N-metabolism	ammonia assimilation cycle; water transport; response to cold; hyperosmotic response; cysteine biosynthetic process; aging; response to cadmium ion; Golgi organization; response to temperature stimulus; pentose-phosphate shunt; regulation of proton transport; response to salt stress; response to high light intensity; glycolysis; response to glucose stimulus; response to blue light; response to sucrose stimulus; response to red light; response to fructose stimulus; response to far red light; response to cytokinin stimulus	3810	4218.67	3323.67	4459.33	3412	4754	3649	4570.33	3275.33	3905
AT1G66200	glutamine synthase clone F11	N-metabolism	response to salt stress; glutamine biosynthetic process; nitrate assimilation; nitrogen compound metabolic process; response to temperature stimulus; hyperosmotic response; response to sucrose stimulus; hydrogen peroxide catabolic process; response to glucose stimulus; water transport; response to osmotic stress; calcium ion transport; Golgi organization; polyamine catabolic process; response to cadmium ion; glycolysis; cellular cation homeostasis; phenylpropanoid metabolic process; divalent metal ion transport; response to fructose stimulus; cellular modified amino acid biosynthetic process	717.33	2023	616.33	1565.67	817	1315.33	839	1086.67	727.67	1595.67
AT5G16570	glutamine synthetase 1;4	N-metabolism	nitrate assimilation; nitrogen compound metabolic process; response to glucose stimulus; glutamine biosynthetic process; response to fructose stimulus; response to sucrose stimulus	65	471.33	64	345.33	121.67	213.67	98	140	85.67	341
AT1G48470	glutamine synthetase 1;5	N-metabolism	response to glucose stimulus; glutamine biosynthetic process; response to sucrose stimulus; response to fructose stimulus; nitrogen compound metabolic process	179.67	228.33	158.67	217	178.67	191	170.67	238	142	155
AT2G15620	nitrite reductase 1	N-metabolism	nitrate transport; response to nitrate; oxidation-reduction process; cysteine biosynthetic process	433.67	381.67	506.33	552	390.33	261.67	392.67	309.67	319	352.67
AT1G37130	nitrate reductase 2	N-metabolism	root hair elongation; nitrate assimilation; nitric oxide biosynthetic process; response to light stimulus; cellular lipid catabolic process; oxidation-reduction process; response to symbiotic fungus	631.67	214.33	686	897.67	289.33	10.67	41	14.67	542.67	69
AT1G77760	nitrate reductase 1	N-metabolism	nitrate assimilation; nitric oxide biosynthetic process; response to light stimulus; oxidation-reduction process	357.67	127.33	385.67	518.33	173	5.67	22.33	8	295.33	34.33
AT1G21440	Phosphoenolpyruvate carboxylase family protein	not assigned.no ontology	glucosinolate biosynthetic process; metabolic process	1407.33	1650.33	1110.67	1985	1578	819	1064.67	1431.33	871	849.67
AT1G32080	membrane protein. putative	not assigned.no ontology	cellular cation homeostasis; thylakoid membrane organization; chloroplast organization; divalent metal ion transport	1211.67	851.33	1346.67	1194.33	1343	657.33	1474.67	639.67	1149.33	611
AT1G16880	uridylyltransferase-related	not assigned.no ontology	response to cold; response to salt stress; response to cytokinin stimulus; photosynthesis. light reaction; defense response to bacterium; response to sucrose stimulus; water transport; divalent metal ion transport; response to light stimulus; response to fructose stimulus; cellular cation homeostasis	623.33	988.67	680.33	1191.33	1136.67	664	830	449.33	798.67	564
AT5G19820	ARM repeat superfamily protein	not assigned.no ontology	plant-type cell wall cellulose metabolic process; cell wall pectin metabolic process; nucleotide biosynthetic process; embryo development ending in seed dormancy	285.67	467.33	338.33	473.67	316	693	447	981.33	307.67	702
AT1G54780	thylakoid lumen 18.3 kDa protein	not assigned.no ontology	unsaturated fatty acid biosynthetic process; photosystem II assembly; regulation of protein dephosphorylation; response to blue light; photosynthesis. light reaction; response to red light; photosystem II repair; carotenoid biosynthetic process; chlorophyll biosynthetic process; photosynthetic electron transport in photosystem I; cysteine biosynthetic process; plastid organization; glucosinolate biosynthetic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; photosynthesis; rRNA processing; response to far red light	703.33	460.33	704.33	595	543.33	368	469	245	596	323
AT3G48420	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	not assigned.no ontology	photosynthesis. light reaction; carotenoid biosynthetic process; thylakoid membrane organization; starch biosynthetic process; pentose-phosphate shunt; metabolic process; stomatal complex morphogenesis	978.33	295	942	315	465	219.33	328.67	172	669	259.33
AT3G05540	Methionine sulfoxide reductase (MSS4-like) family protein	not assigned.no ontology		167	385.67	163.33	305.33	439.67	706.67	501.33	666.33	250	467
AT5G58770	Undecaprenyl pyrophosphate synthetase family protein	not assigned.no ontology	ubiquinone biosynthetic process; dolichol biosynthetic process	187.67	869.67	185	416	218.67	252	164.67	59.33	420.67	768.33
AT3G10420	P-loop containing nucleoside triphosphate hydrolases superfamily protein	not assigned.no ontology	Mo-molybdopterin cofactor biosynthetic process	177	537.33	141.67	365.33	197.67	418.33	283	358.33	320	380.33
AT3G27090	DCD (Development and Cell Death) domain protein	not assigned.no ontology		135.33	361	135.33	350.33	263.33	438.33	243.33	465.67	214.33	458
AT1G56500	haloacid dehalogenase-like hydrolase family protein	not assigned.no ontology	photosynthetic electron transport in photosystem I; carotenoid biosynthetic process; maltose metabolic process; thylakoid membrane organization; ncRNA metabolic process; chloroplast relocation; starch biosynthetic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; nonphotochemical quenching	228.67	237	270.33	323.33	310	351	295.67	448	206.67	352
AT4G35250	NAD(P)-binding Rossmann-fold superfamily protein	not assigned.no ontology	photosystem II assembly; response to far red light; rRNA processing; carotenoid biosynthetic process; photosynthesis. light reaction; response to red light; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; response to blue light	179.67	335.33	173	383	271	407	250.33	346	154	402.33
AT1G15290	Tetratricopeptide repeat (TPR)-like superfamily protein	not assigned.no ontology		96.67	251	146.67	255.33	198.33	429	175.33	525	104.33	546.33
AT5G10860	Cystathionine beta-synthase (CBS) family protein	not assigned.no ontology	response to salt stress; water transport; Golgi organization; cell redox homeostasis; response to cadmium ion; glycolysis; hyperosmotic response; response to temperature stimulus	116.33	226.33	135.67	249.33	484.67	276	534.67	276.67	246.33	160
AT4G37470	alpha/beta-Hydrolases superfamily protein	not assigned.no ontology	de-etiolation; photomorphogenesis; response to sucrose stimulus; flavonoid biosynthetic process; response to karrikin; response to UV-B	147	248.33	116.33	186.67	165	405.33	202.67	497	179	289.33
AT1G16180	Serinc-domain containing serine and sphingolipid biosynthesis protein	not assigned.no ontology	protein targeting to vacuole; vesicle-mediated transport	134.67	302.67	142.33	257	240.67	262.33	290.67	237.67	226.67	300
AT1G10950	transmembrane nine 1	not assigned.no ontology		216	269	224.33	246	166	220.67	171	249.67	285.33	247.33
AT4G39970	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	not assigned.no ontology	glucosinolate biosynthetic process; metabolic process	175.33	230.67	185.67	318	215.67	264	201	252.67	156	178
AT1G52510	alpha/beta-Hydrolases superfamily protein	not assigned.no ontology	mRNA modification	442.67	69.33	477	67.67	247.33	20.33	183.67	26.67	465.33	57
AT5G53490	Tetratricopeptide repeat (TPR)-like superfamily protein	not assigned.no ontology	cellular cation homeostasis; carotenoid biosynthetic process; rRNA processing; chlorophyll biosynthetic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; ; photosynthesis; thylakoid membrane organization; divalent metal ion transport; unsaturated fatty acid biosynthetic process	255	188	290.67	342.67	198.67	166.33	133.33	161.67	165.67	149.33
AT5G43850	RmlC-like cupins superfamily protein	not assigned.no ontology	oxidation-reduction process	204.67	71	213	72.33	583.33	75.33	427.33	56	194.33	58.33
AT3G23940	dehydratase family	not assigned.no ontology	metabolic process; branched-chain amino acid biosynthetic process; pollen development; pyrimidine ribonucleotide biosynthetic process	70.33	316.67	76.67	300.67	186.67	155	293.33	173.33	124	247.33
AT5G01650	Tautomerase/MIF superfamily protein	not assigned.no ontology	inflammatory response; response to other organism	182.67	324	184	302	116	146.33	102.33	114.33	207.67	263
AT1G14670	Endomembrane protein 70 protein family	not assigned.no ontology	transport	149	176.67	181	177.33	167	226.67	181	248.67	204.67	169.33
AT2G44920	Tetratricopeptide repeat (TPR)-like superfamily protein	not assigned.no ontology	chlorophyll biosynthetic process; positive regulation of catalytic activity; response to cold; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; defense response to bacterium; pentose-phosphate shunt; carotenoid biosynthetic process; unsaturated fatty acid biosynthetic process; photosynthesis	186	198	159.33	229.67	165	164.33	173.67	149.67	146.33	143.33
AT3G24100	Uncharacterised protein family SERF	not assigned.no ontology		145.67	221.67	124.67	187	180.33	184.33	161	110	202.67	161.67
AT4G38350	Patched family protein	not assigned.no ontology		83	152.67	118.33	169.67	145	232.67	166	253.33	126	202.67
AT4G12830	alpha/beta-Hydrolases superfamily protein	not assigned.no ontology	mRNA modification	126.33	232.33	112.67	254.67	95.33	185	96.67	196	118	231
AT1G52870	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein	not assigned.no ontology		175.67	142.67	164.33	121.67	157.33	167.67	165.33	129.67	219	177
AT3G29240	Protein of unknown function (DUF179)	not assigned.no ontology		28.33	288	18.33	160.67	27	445.33	18.33	299	12.33	282.33
AT3G07700	Protein kinase superfamily protein	not assigned.no ontology		251.67	192.67	256	128.67	339.67	140.33	459.67	106.33	235.33	174.33
AT3G24190	Protein kinase superfamily protein	not assigned.no ontology	protein phosphorylation; response to UV-B; flavonoid biosynthetic process; response to sucrose stimulus	186.67	145	181	103.33	230.67	188.67	230	121.67	176.67	168.67
AT2G30600	BTB/POZ domain-containing protein	not assigned.no ontology	cell adhesion; flower morphogenesis; proximal/distal pattern formation; floral organ abscission	168.67	9.67	161.33	8.67	699	8.67	1023.33	5.67	220.33	4
AT2G46260	BTB/POZ/Kelch-associated protein	not assigned.no ontology	response to red light; flower morphogenesis; proximal/distal pattern formation; floral organ abscission	67	214	73.67	220.33	98	309.67	110	373.33	108	241
AT2G20990	synaptotagmin A	not assigned.no ontology	response to virus; response to cold; plasma membrane repair; protein targeting to membrane; endocytosis; spread of virus in host. cell to cell; endocytic recycling	232	162.67	214	144	274.33	118.33	287.67	118.67	251	110
AT2G22125	binding	not assigned.no ontology	cellulose metabolic process; cell growth; anisotropic cell growth; cellulose biosynthetic process; plant-type cell wall biogenesis	177	255.67	254.33	225.33	78.67	56.67	64	67.67	218	201.33
AT3G25690	Hydroxyproline-rich glycoprotein family protein	not assigned.no ontology	chloroplast relocation; thylakoid membrane organization; photosynthesis. light reaction; regulation of protein dephosphorylation; photosystem II assembly; transcription from plastid promoter; rRNA processing; ncRNA metabolic process; positive regulation of transcription. DNA-dependent	268	1255.67	299.67	1168.67	806	1732.33	698	1723	447.67	1789.67
AT4G01050	thylakoid rhodanese-like	not assigned.no ontology	response to light stimulus; unsaturated fatty acid biosynthetic process; defense response. incompatible interaction; ncRNA metabolic process; glycine catabolic process; chlorophyll biosynthetic process; cellular amino acid biosynthetic process; oxidoreduction coenzyme metabolic process; salicylic acid biosynthetic process; protein targeting to membrane; photosynthetic electron transport in photosystem I; jasmonic acid mediated signaling pathway; thylakoid membrane organization; defense response to bacterium; photosystem II assembly; regulation of hydrogen peroxide metabolic process; defense response to fungus; regulation of protein dephosphorylation; rRNA processing; systemic acquired resistance. salicylic acid mediated signaling pathway; response to cold; detection of biotic stimulus; photosynthesis. light reaction; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; photosynthesis; nucleotide metabolic process; secondary metabolic process; regulation of multi-organism process; sulfur compound biosynthetic process; lipoate metabolic process; MAPK cascade; sulfur amino acid metabolic process; plastid organization; chlorophyll metabolic process; chloroplast relocation; aromatic amino acid family metabolic process; response to blue light; cysteine biosynthetic process; oxylipin biosynthetic process; photosynthetic electron transport in photosystem II; coenzyme biosynthetic process; response to sucrose stimulus; response to red light; vitamin metabolic process; regulation of lipid metabolic process; response to chitin; response to far red light; regulation of plant-type hypersensitive response; jasmonic acid biosynthetic process; response to glucose stimulus; negative regulation of defense response	461	158.67	476	181.33	444.67	178	391.67	142.67	414	161.33
AT4G34830	Pentatricopeptide repeat (PPR) superfamily protein	not assigned.no ontology	mRNA modification; ncRNA metabolic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; mRNA stabilization; thylakoid membrane organization; transcription from plastid promoter; chloroplast relocation; stomatal complex morphogenesis	77.33	191	105.67	241.33	151	347.67	148.67	402.33	73.67	270.67
AT1G12250	Pentapeptide repeat-containing protein	not assigned.no ontology		148.67	86.33	126.67	106	365	142.33	434	97.33	136.33	91
AT5G07020	proline-rich family protein	not assigned.no ontology	transcription from plastid promoter; ncRNA metabolic process; leaf morphogenesis; carotenoid biosynthetic process; chloroplast relocation; thylakoid membrane organization; cell differentiation; response to cytokinin stimulus	412	208.33	366.33	241.67	209.67	305.67	164.67	266.33	239.67	262.33
AT1G01320	Tetratricopeptide repeat (TPR)-like superfamily protein	not assigned.no ontology	mRNA modification	158.33	530.33	249.33	471.67	441	730	478.33	966.67	305.33	1129
AT1G09340	chloroplast RNA binding	not assigned.unknown	regulation of protein dephosphorylation; photosystem II assembly; response to chitin; positive regulation of transcription. DNA-dependent; pentose-phosphate shunt; monosaccharide metabolic process; plastid translation; positive regulation of translation; rRNA processing; cellular response to water deprivation; peptidyl-cysteine S-nitrosylation; regulation of plant-type hypersensitive response; transcription from plastid promoter; jasmonic acid mediated signaling pathway; plastid organization; protein targeting to membrane; unsaturated fatty acid biosynthetic process; defense response to bacterium; defense response to fungus; response to far red light; response to red light; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; systemic acquired resistance. salicylic acid mediated signaling pathway; circadian rhythm; chloroplast organization; response to wounding; regulation of hydrogen peroxide metabolic process; photorespiration; thylakoid membrane organization; photosynthesis. light reaction; chloroplast relocation; response to blue light; chlorophyll biosynthetic process; MAPK cascade; leaf morphogenesis; salicylic acid biosynthetic process; ncRNA metabolic process; response to cold; negative regulation of defense response; cell differentiation; detection of biotic stimulus; carotenoid biosynthetic process; regulation of multi-organism process; defense response. incompatible interaction; positive regulation of catalytic activity	4039.67	1628.67	3815.67	1600.33	1919.67	1525	1250.67	1169	2441	1838.67
AT4G28080	Tetratricopeptide repeat (TPR)-like superfamily protein	not assigned.unknown	mRNA modification; response to abscisic acid stimulus; phosphatidylglycerol biosynthetic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; stomatal complex morphogenesis	120.33	1181.33	201	1397	687.33	1795.33	580.67	2036.33	180.33	2780.67
AT1G26110	decapping 5	not assigned.unknown	protein N-linked glycosylation; deadenylation-independent decapping of nuclear-transcribed mRNA; positive regulation of cytoplasmic mRNA processing body assembly; protein glycosylation; negative regulation of translation; cytoplasmic mRNA processing body assembly	1316.67	1061.67	1335	742	1449	533.67	1280.67	391.33	1970.67	766.67
AT2G25737	Sulfite exporter TauE/SafE family protein	not assigned.unknown		349.67	1208	341.67	1192.67	429	1931.67	336.67	1847.33	346.67	827.67
AT4G01150		not assigned.unknown		1143	512	1330.33	758.67	970.33	536	631	372	950	359
AT5G23060	calcium sensing receptor	not assigned.unknown	cellular response to calcium ion; maltose metabolic process; plastid organization; rRNA processing; chlorophyll metabolic process; pentose-phosphate shunt; photosynthesis. light reaction; oxylipin biosynthetic process; de-etiolation; response to light stimulus; photosynthetic electron transport in photosystem I; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; photosystem II assembly; regulation of stomatal closure; unsaturated fatty acid biosynthetic process; cysteine biosynthetic process; response to red light; response to far red light; positive regulation of catalytic activity; starch biosynthetic process; photosynthesis; response to blue light; regulation of lipid metabolic process	798.67	505.33	646.33	534.67	453.33	1272.67	321.33	1295.67	461	995.33
AT2G07706		not assigned.unknown		919	1732	193.67	474	104.67	147.33	274.67	1207.33	435	635.67
AT3G47070		not assigned.unknown	response to far red light; chloroplast relocation; response to blue light; thylakoid membrane organization; rRNA processing; ncRNA metabolic process; photosynthesis; cellular cation homeostasis; response to red light; divalent metal ion transport	508.33	590.33	456.33	612	325.67	609.67	228.33	419.67	436	508.33
AT3G48200		not assigned.unknown	; mRNA modification; pentose-phosphate shunt; chloroplast relocation; maltose metabolic process; starch biosynthetic process; stomatal complex morphogenesis; positive regulation of catalytic activity	195.67	311.67	291.67	352.33	540	579.33	458.67	499.67	297.33	624.33
AT4G19160		not assigned.unknown		59	484.33	63.67	447	304	543	594.33	868.33	180.67	351
AT1G16720	high chlorophyll fluorescence phenotype 173	not assigned.unknown	translational initiation; protein autophosphorylation; photosystem II assembly; regulation of proton transport	159.67	502	180	536.67	347.33	475.33	332.67	370.33	179.33	642.33
AT5G24690	Protein of unknown function (DUF3411)	not assigned.unknown		140	337	158	389.67	236.33	661.33	231.67	685.67	160	485.67
AT5G11840	Protein of unknown function (DUF1230)	not assigned.unknown	chlorophyll catabolic process; 	159.33	314	163	318	506.33	382.67	628	365.33	230	325
AT3G07310	Protein of unknown function (DUF760)	not assigned.unknown	seed dormancy process; ; gibberellic acid mediated signaling pathway	73	269.33	89.67	422.67	182.67	615.67	269	735	86.67	463
AT1G15980	NDH-dependent cyclic electron flow 1	not assigned.unknown	pentose-phosphate shunt; photosynthetic electron transport in photosystem I; carotenoid biosynthetic process; photosystem II assembly; photosynthesis	193	454	212.33	527.67	220.33	413	146.67	338	168.33	427.67
AT2G27290	Protein of unknown function (DUF1279)	not assigned.unknown	phosphatidylinositol biosynthetic process; positive regulation of transcription. DNA-dependent; cell differentiation; leaf morphogenesis; 	121.67	219.67	125.33	260.67	596.67	380.33	663.33	237.33	135.67	182
AT1G16080		not assigned.unknown	pentose-phosphate shunt; thylakoid membrane organization; leaf morphogenesis; carotenoid biosynthetic process; cell differentiation	287	277	286.33	280	378.33	280	355	206	292	263.33
AT2G23090	Uncharacterised protein family SERF	not assigned.unknown		147	369.67	129.33	332.67	307.33	443.67	312	272.33	196	357.33
AT1G55480	protein containing PDZ domain. a K-box domain. and a TPR region	not assigned.unknown	photosynthesis; carotenoid biosynthetic process; myo-inositol hexakisphosphate biosynthetic process; response to wounding	566.33	64	606.67	81.33	493	97	363.67	78.33	422.33	68
AT4G19390	Uncharacterised protein family (UPF0114)	not assigned.unknown		6.33	49.33	11.33	22.67	647.33	354	1234.33	276	38.67	45.33
AT5G05200	Protein kinase superfamily protein	not assigned.unknown	chlorophyll catabolic process; maltose metabolic process; starch biosynthetic process; positive regulation of catalytic activity	284	134.67	281	106.33	412	103.67	626	78.67	363.33	112
AT5G67370	Protein of unknown function (DUF1230)	not assigned.unknown		167.67	84.67	146.67	115	357.33	314	652.67	367	129	102
AT5G03880	Thioredoxin family protein	not assigned.unknown	photosynthesis. light reaction; regulation of protein dephosphorylation; cell redox homeostasis	269	209.67	280.33	239.67	345.33	181.33	325.33	118.33	266	151.67
AT2G05310		not assigned.unknown		216.67	175	215.33	285	319	306.67	258	246.33	161	144.67
AT2G01021		not assigned.unknown	NA	479.33	478.33	64	187.33	51.67	47	100.33	594.67	135.33	174
AT1G50900	Ankyrin repeat family protein	not assigned.unknown	granum assembly; phosphatidylglycerol biosynthetic process; response to karrikin; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; pentose-phosphate shunt	255.67	245	224.67	300.67	222.33	240.67	176.33	197.67	184.33	190.67
AT5G43750	NAD(P)H dehydrogenase 18	not assigned.unknown	divalent metal ion transport; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; thylakoid membrane organization; response to oxidative stress; cellular cation homeostasis	176.67	273	179	308.33	229.67	254.67	248.67	211.67	129	218.33
AT3G61870		not assigned.unknown	photosystem II assembly; chlorophyll biosynthetic process; plastid organization; pentose-phosphate shunt; ; thylakoid membrane organization; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; rRNA processing	257.67	208.67	240	266.67	227	211.67	161.33	191.33	232.67	170.33
AT5G09570	Cox19-like CHCH family protein	not assigned.unknown	galactolipid biosynthetic process; negative regulation of transcription. DNA-dependent; cellular response to phosphate starvation; 	301.67	283.67	281.67	309.33	153.33	128	122.67	123	267.33	194.33
AT5G08050	Protein of unknown function (DUF1118)	not assigned.unknown	photosynthetic electron transport in photosystem I; photosynthesis. light reaction; chlorophyll biosynthetic process; chloroplast organization; positive regulation of transcription. DNA-dependent; response to karrikin; pentose-phosphate shunt	333.33	168.33	287.67	208.33	222	151.67	201.33	133.33	312.33	136.33
AT1G62780		not assigned.unknown	thylakoid membrane organization; pentose-phosphate shunt; starch biosynthetic process; ncRNA metabolic process; chloroplast relocation; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; maltose metabolic process; 	152	238.67	136	274.67	219	320.33	199.67	251	118.33	187
AT1G65230	Uncharacterized conserved protein (DUF2358)	not assigned.unknown	ncRNA metabolic process; glucosinolate biosynthetic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; photosynthesis; pentose-phosphate shunt; chloroplast relocation; ; starch biosynthetic process; carotenoid biosynthetic process; glucosinolate metabolic process; thylakoid membrane organization	225.33	184.33	234	230	281	123.67	241.67	113	233.33	179.67
AT2G47390	Prolyl oligopeptidase family protein	not assigned.unknown	proteolysis	133.33	226.67	149.67	173	231	206.67	282	203.67	162	256.33
AT5G11500		not assigned.unknown	protein targeting to vacuole; ; vesicle-mediated transport	79.33	177	70.67	183.33	173.67	447	161.67	438	111	159.33
AT3G01310	Phosphoglycerate mutase-like family protein	not assigned.unknown	oxidation-reduction process; circadian rhythm	31.33	207	34	229	52.33	407.33	70.67	506	33.33	421
AT1G27330	Ribosome associated membrane protein RAMP4	not assigned.unknown	response to oxidative stress	115	276.33	113.33	310.67	179.67	220.33	208.67	196.33	166.67	203.33
AT1G18730	NDH dependent flow 6	not assigned.unknown	pentose-phosphate shunt; divalent metal ion transport; rRNA processing; maltose metabolic process; cellular cation homeostasis; photosynthetic electron transport in photosystem I; photosynthesis. light reaction; photosynthesis; photorespiration; chlorophyll biosynthetic process; starch biosynthetic process	99.33	248	112.33	335	202.33	284	157	236.33	77	193.67
AT1G26355	SPIRAL1-like1	not assigned.unknown		205	316	198.33	300	108.33	147.67	78.67	135	214.67	224.33
AT2G35260		not assigned.unknown	protein autophosphorylation; glucosinolate biosynthetic process; regulation of proton transport; 	116.33	153	141	238.33	294	136.67	269.67	138.33	244.33	176.67
